Model,K,Selected_Genes,Best_Params,External_AUC,External_Accuracy
GradientBoosting,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.606568478076858,0.6775510204081633
GradientBoosting,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.6051295073641443,0.6571428571428571
GradientBoosting,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5759268664296597,0.7020408163265306
XGBoost,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5733028610123583,0.6816326530612244
RandomForest,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5697054342305738,0.6857142857142857
ExtraTrees,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5681818181818181,0.7224489795918367
ExtraTrees,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5608599966141866,0.7224489795918367
RandomForest,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5569663111562553,0.6816326530612244
XGBoost,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5534958523785339,0.689795918367347
ExtraTrees,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5511257829693584,0.7224489795918367
RandomForest,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5486710682241409,0.6775510204081633
RandomForest,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5450313187743355,0.6775510204081633
ExtraTrees,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5435077027255798,0.6938775510204082
LinearSVC,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']",{'estimator__C': 0.01},0.5411376333164043,0.5959183673469388
LogisticRegression,7,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.5405451159641104,0.6081632653061224
RandomForest,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5405027932960894,0.6693877551020408
LinearSVC,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']",{'estimator__C': 0.01},0.5391061452513966,0.6
LinearSVC,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']",{'estimator__C': 0.01},0.5365667851701371,0.5877551020408164
LogisticRegression,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.5361435584899271,0.5918367346938775
GradientBoosting,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5360589131538852,0.6571428571428571
LogisticRegression,8,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.5355510411376333,0.5918367346938775
LinearSVC,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']",{'estimator__C': 0.01},0.5352971051295075,0.5877551020408164
LogisticRegression,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.5343660064330454,0.5714285714285714
XGBoost,9,"['202192_s_at', '203592_s_at', '207574_s_at', '208316_s_at', '209304_x_at', '212356_at', '218686_s_at', '219173_at', '37796_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.526917216861351,0.6979591836734694
XGBoost,6,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '218686_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.526832571525309,0.6530612244897959
ExtraTrees,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5184103605891316,0.6857142857142857
LinearSVC,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']",{'estimator__C': 0.01},0.515913323175893,0.5714285714285714
RandomForest,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5129930590824446,0.6530612244897959
GradientBoosting,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5119349923819196,0.6
LogisticRegression,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.5109192483494159,0.5755102040816327
XGBoost,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.5092263416285763,0.6040816326530613
ExtraTrees,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5084222109361775,0.6530612244897959
XGBoost,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.4950905705095649,0.6285714285714286
RandomForest,1,['202192_s_at'],"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.4919586930760115,0.5428571428571428
GradientBoosting,5,"['202192_s_at', '203592_s_at', '208316_s_at', '212356_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.4919586930760115,0.6244897959183674
LinearSVC,1,['202192_s_at'],{'estimator__C': 0.01},0.48450990350431694,0.5346938775510204
LogisticRegression,1,['202192_s_at'],"{'C': 0.01, 'l1_ratio': 0.0}",0.48450990350431694,0.5346938775510204
LogisticRegression,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.48154731674284745,0.5673469387755102
LinearSVC,4,"['202192_s_at', '203592_s_at', '208316_s_at', '219173_at']",{'estimator__C': 0.01},0.4777382766209582,0.5714285714285714
XGBoost,3,"['202192_s_at', '203592_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.4747333671914677,0.6040816326530613
ExtraTrees,1,['202192_s_at'],"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.473463687150838,0.5224489795918368
ExtraTrees,3,"['202192_s_at', '203592_s_at', '219173_at']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.47020484171322163,0.6244897959183674
GradientBoosting,1,['202192_s_at'],"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.4684696123243609,0.563265306122449
RandomForest,3,"['202192_s_at', '203592_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.4684272896563399,0.6204081632653061
XGBoost,1,['202192_s_at'],"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.4619942441171492,0.5795918367346938
LogisticRegression,3,"['202192_s_at', '203592_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.452175385136279,0.5510204081632653
LinearSVC,3,"['202192_s_at', '203592_s_at', '219173_at']",{'estimator__C': 1.0},0.45166751312002706,0.5469387755102041
GradientBoosting,3,"['202192_s_at', '203592_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.44709666497375994,0.6285714285714286
ExtraTrees,2,"['202192_s_at', '219173_at']","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.42720501100389374,0.5673469387755102
LogisticRegression,2,"['202192_s_at', '219173_at']","{'C': 0.01, 'l1_ratio': 0.0}",0.4261046216353479,0.5428571428571428
LinearSVC,2,"['202192_s_at', '219173_at']",{'estimator__C': 0.01},0.42475029625867616,0.5346938775510204
RandomForest,2,"['202192_s_at', '219173_at']","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.40769426104621637,0.5102040816326531
XGBoost,2,"['202192_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.39846791941764004,0.5346938775510204
GradientBoosting,2,"['202192_s_at', '219173_at']","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.3922888098865753,0.5102040816326531
