Model,Metric,Genes,AUC,Recall,Precision,F1-score,Train Accuracy,CV Accuracy,Test Accuracy
=== SVM ===,,,,,,,,,
,Highest AUC,217092_x_at + 43544_at,0.6551155115511551,0.6105125218404194,0.6125,0.6089776412357057,0.6104417670682731,0.7288135593220338,0.6108374384236454
,Highest Recall,43544_at,0.6521063871092991,0.6153659483595418,0.618494516450648,0.613049853372434,0.5809906291834003,0.6610169491525424,0.6157635467980296
,Highest Precision,43544_at,0.6521063871092991,0.6153659483595418,0.618494516450648,0.613049853372434,0.5809906291834003,0.6610169491525424,0.6157635467980296
,Highest F1-score,43544_at,0.6521063871092991,0.6153659483595418,0.618494516450648,0.613049853372434,0.5809906291834003,0.6610169491525424,0.6157635467980296
,Highest Train Accuracy,217092_x_at + 43544_at,0.6551155115511551,0.6105125218404194,0.6125,0.6089776412357057,0.6104417670682731,0.7288135593220338,0.6108374384236454
,Highest CV Accuracy,217092_x_at + 43544_at,0.6551155115511551,0.6105125218404194,0.6125,0.6089776412357057,0.6104417670682731,0.7288135593220338,0.6108374384236454
,Highest Test Accuracy,43544_at,0.6521063871092991,0.6153659483595418,0.618494516450648,0.613049853372434,0.5809906291834003,0.6610169491525424,0.6157635467980296
=== KNN ===,,,,,,,,,
,Highest AUC,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest Recall,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest Precision,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest F1-score,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest Train Accuracy,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest CV Accuracy,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
,Highest Test Accuracy,217092_x_at + 43544_at,0.7522811104639875,0.6701125994952436,0.6708089668615984,0.6696621572389673,0.7978580990629184,0.7457627118644068,0.6699507389162561
=== AdaBoost ===,,,,,,,,,
,Highest AUC,217092_x_at + 43544_at,0.6536594835954184,0.6109493302271404,0.611165142968294,0.6106862816497949,0.6398929049531459,0.6694915254237288,0.6108374384236454
,Highest Recall,43544_at,0.6491943311978257,0.6202679091438557,0.6239495798319328,0.6176837470955119,0.5917001338688086,0.6610169491525424,0.6206896551724138
,Highest Precision,43544_at,0.6491943311978257,0.6202679091438557,0.6239495798319328,0.6176837470955119,0.5917001338688086,0.6610169491525424,0.6206896551724138
,Highest F1-score,43544_at,0.6491943311978257,0.6202679091438557,0.6239495798319328,0.6176837470955119,0.5917001338688086,0.6610169491525424,0.6206896551724138
,Highest Train Accuracy,217092_x_at + 43544_at,0.6536594835954184,0.6109493302271404,0.611165142968294,0.6106862816497949,0.6398929049531459,0.6694915254237288,0.6108374384236454
,Highest CV Accuracy,217092_x_at + 43544_at,0.6536594835954184,0.6109493302271404,0.611165142968294,0.6106862816497949,0.6398929049531459,0.6694915254237288,0.6108374384236454
,Highest Test Accuracy,43544_at,0.6491943311978257,0.6202679091438557,0.6239495798319328,0.6176837470955119,0.5917001338688086,0.6610169491525424,0.6206896551724138
=== NaiveBayes ===,,,,,,,,,
,Highest AUC,43544_at,0.6617161716171618,0.6108037274315667,0.6108252427184466,0.6107996602354083,0.5729585006693441,0.6610169491525424,0.6108374384236454
,Highest Recall,43544_at,0.6617161716171618,0.6108037274315667,0.6108252427184466,0.6107996602354083,0.5729585006693441,0.6610169491525424,0.6108374384236454
,Highest Precision,43544_at,0.6617161716171618,0.6108037274315667,0.6108252427184466,0.6107996602354083,0.5729585006693441,0.6610169491525424,0.6108374384236454
,Highest F1-score,43544_at,0.6617161716171618,0.6108037274315667,0.6108252427184466,0.6107996602354083,0.5729585006693441,0.6610169491525424,0.6108374384236454
,Highest Train Accuracy,217092_x_at,0.5479518540089303,0.545719277810134,0.5565969718817592,0.5233768885259289,0.5796519410977242,0.6186440677966102,0.5467980295566502
,Highest CV Accuracy,217092_x_at + 43544_at,0.6308483789555425,0.5954668996311396,0.6013708513708513,0.5898383599448058,0.5796519410977242,0.6779661016949152,0.5960591133004927
,Highest Test Accuracy,43544_at,0.6617161716171618,0.6108037274315667,0.6108252427184466,0.6107996602354083,0.5729585006693441,0.6610169491525424,0.6108374384236454
